comment,level-1,level-2,level-3,Language_Category,
"the so called south india unity is only on the internet and the political party goons, while most of the south Indians can’t even communicate among themselves 😂😂😂.  I live in Bangalore, the tamilians speak hindi instead of kannada to local auto walas😂",1,2,South-India,English,
No worries. International communities laughs about Indian civic sense because of North Indians and journalist ignorance,1,2,North-India,English,
North Indian  are not indians they are half Britishers and make fun of their own country and ask south people to speak hindi like they are civilised people with their half assed brains,1,2,North-India,English,
"We must do in the same way, with pani puri seller, pan spit, scam,nnorthieessss",1,2,North-India,English,
"But the actual truth is for us, the north indians are someone who doesn't even fit in the puzzle, the barbarians, the illiterate substandard people. But they themselves fantasies them as superior, even when they are from the worst part of India what a joke",1,3,North-India,English,
North Indians should never complain about racism ! They think they are all that just because of their skin color,1,3,North-India,English,
"Chapati/Paratha, Gutkha, Paneer, and Chole — sums up all of North India.",1,2,North-India,Code-Mixed,Hinglish
They themselves show that biharis are only *rikzha pullers*,1,2,Bihar,English,
"If whole of south is madrasi for them, the whole north is bihari for us.",1,2,North-India,English,
"Forget about bollywood,  the so called chauvinist kannadigas hate every non Kannadiga. They hate Sonu Nigam, north Indian employees, or neighbor Tamilians brothers.",1,3,Karnataka,English,
"Not only bollywood even the north immigrants behave the same. They r spoiling our culture and traditions and always try to dominate us. Specially in telangana, they replaced our kolatam with dandiya.",1,2,North-India,English,
As a south indian I need how south Indians are generalizing the entire north as cow belt these days.,1,2,North-India,English,
Punjabis are racist,1,3,Punjab,English,
checklist of north indians: panmasala castor oil hair chapathi weed tattoos,1,2,North-India,Code-Mixed,Hinglish
"We alll South indians know that most of  the North indians are illiterates,  stupid, lack of civic sensed and gbar minded.😂",1,2,North-India,Code-Mixed,Hinglish
Drinking gaumutra should be incorporated by every South Indian movies while depicting North Indian character 😂😂,1,2,North-India,Code-Mixed,Hinglish
"South India wants a separate country. No visa for loud, zuban kesari North Indians. Quit aaloo movement! 😂",1,2,North-India,Code-Mixed,Hinglish
Spitting pan on every roadside  should be included in every south movie to depict north indians,1,2,North-India,Code-Mixed,Hinglish
north indians should be kicked out,1,2,North-India,English,
"If we start to roast northies we have lots of elements peeda, pyjama, chapathi dhal 😂😂😂",1,2,North-India,Code-Mixed,Hinglish
"Don't worry.. in south indian mind, north indians are group of people who don't think at all. Paani poori,chapathi, pan barag, travelling without ticket, people who doesn't know how to respect others, scammers, cheaters and always makes fun of south indians no matter what we are doing, poor, hard workers, mob attackers, don't have feelings, don't have rational thinking.. is there anything I missed?",1,2,North-India,Code-Mixed,Hinglish
"Just be indifferent to these northie clowns and bollywood.. such level of unawareness and poor intellect is so laughable in this day and age,😂 and these north indians think they are progressive while living in smelly, filth filled cities and suburbs with zero civic sense and cooperation.",1,2,North-India,English,
For us keralites every north indian is a bengali.😅😅😅😅,1,2,North-India,English,
I think northies should come out from their cowdung thinking,1,2,North-India,English,
North Indians lack knowledge about everything.,1,2,North-India,English,
"If I ever make a movie about North Indian then I will portray them as men drink urine , bath with cow dung , and over religious and uneducated so that always vote for BJP in the name of religion",1,3,North-India,English,
We should call all north indians as biharis and up bhaiyyas 😂,1,3,North-India,English,
"We can identify the north people wherever we go. They will be people speaking in loud noise, indisciplined, and spitting everywhere",1,2,North-India,English,
"I don't know if you (the channel) don't understand the underlying thinking of some (not all are dickheads) of these northies or are simply being polite.. Such northies have a fake, forced superiority complex 😅... Their forefathers taught them as such and some of them still follow their elders blindly .....there's no point in explaining them. They will quiten down when they are humiliated in targeted way 😊",1,2,North-India,English,
It is pure ignorant of North Indians thinking they are better and smarter when in fact they are neither of that! Just pure dumbness!,1,2,North-India,English,
NORTH INDIANS THINK THEY ARE SUPERIOR TO SOUTH INDIANS.FRANKLY I SAY SOUTH INDIANS MORE EDUCATED.HEMA MALINI JAYAPRADA ASIN VIDYA BALAN DEEPIKA PADUKONE ISHWARYA ROY ALL SOUTH INDIANS.SOUTH INDIANS RESPECT THEIR CUTURES..Kerala tamilnadu karnataka and Andra have different culture and languages,1,2,"North-India, South-India",English,
"Northies can be as uncultured as Kapil Sharma who is a shame to all Indians….🤮UPites, Biharis with their stained mouths, the less said the better and then of course the Punjabis the unofficial Cannadda  right!",1,2,"North-India, Uttar Pradesh, Bihar",English,
South Indians are most forward thinkers. I guess Bollywood needs to do some research.,1,1,South-India,English,
"I feel the North Indians are about 30 years behind from south Indian in each category...the politicians and the religious beliefs are make them backward community...they feeding morning to night propaganda news, films and political speech...as a Keralaites i feel they need good education, health system ,shelter and social life without any parameters...The last seen man is the brand ambassador of North indians psycho joker community...he idiot don't feel shame ..how confidently he makes foolishness..",1,2,North-India,English,
What appalls me is that backward cowbeltwallahs northies. have the gall to make fun of a more socially & economically progressive south.,1,2,North-India,English,
"North Indians are being sore losers....Nothing more, Nothing else. We don't need their validation for anything...They are in deep squalor!",1,2,North-India,English,
"Forgive them for they, the North Indians, are illiterate, arrogant people. They don't know and they just don't care.",1,2,North-India,English,
The reason why North India is backward.....,1,2,North-India,English,
Often North Indians particularly Hindi speaking people call South Indians kallu or Rawan. Even some Bengalis are not different. Very unfortunate behaviour.,1,2,North-India,English,
"KERALA IS LEAST CORRUPT STATE IN INDIA??? LMAO  It used to be so, that is until this current communist looters started running the govt. It  seems source of this information is the nepo tourism minister. and the cooked up stories fed through conniving agencies by the looter communist govt!",1,2,North-India,English,
"❤Kerala is the safest state for women in India,because of richest art and cultural heritage foundation of thirty centuries old!❤",1,1,Kerala,English,
Northie zombie bastards are not invited to Keralam.,1,2,North-India,English,
"Kerala-- most educated state in India, high HDI. Life expectancy, low child death...",1,1,Kerala,English,
Kerala is the best,1,1,Kerala,English,
"YES ..KERALA is Number one in India.. KERALA is a harmonious and peaceful state also ..Last 10 years there are booming's in developments.. New roads, school buildings, Hospital buildings, tourism projects, Infrastructures, industries Etc.. Thank You Very Much both of you  for your valuable words about my Mother Land KERALA❤❤❤🥰💐",1,1,Kerala,English,
"Kerala had good opportunity to  attract investments, improve infrastructure, and increase GDP per capita. Unfortunately Kerala has the most incompetent politicians among all Indian states. They have no vision, no desire to improve people’s life and have no love for the state. Kerala survive due to NRI’s.",1,2,Kerala,English,
North Indians fighting each other on religious basis. In kerala everyone respect everybody's religions and all are cooperative,1,2,"North-India, Kerala",English,
Kerella the best people....I am from mumbai,1,1,Kerala,English,
Kerala is still best state of india because BJP didn't have seat.. people are educated that is why BJP is rejected,1,1,Kerala,English,
"Kerala only supports only radicalisation and terrorist activities, that's why bjp is rejected .",1,3,Kerala,English,
Kerala peoples respect all religion and peoples  are well educated. Not like northing Indians which focus on dividing peoples in the name of religion.,1,2,"North-India, Kerala",English,
"Kerala is around 30 years ahead of rest of India 😮 Food, health, education, equality of ethnicity, sports, cenema, scientific temper, beauty of the place and so on 😮. Incomparable at all 😮.",1,1,Kerala,English,
"Kerala is the safest state in India for you. If you face any problems there, the locals will speak up for you because there are Keralites everywhere in the world.",1,1,Kerala,English,
"Kerala environmentally is indeed beautiful. But it‘s also the best state for terrorists, missionaries, communists and jihadis, lmao. That‘s why it’s beloved by retarded malayalees because they‘re still slaves to western white liberal culture. :) if the could, they would whiten their skin and even talk different languages because they‘re ass lickers.",1,3,Kerala,English,
"Kerala is good, people are good But the politicians. They suck. Because the roads are not good, village offices are very slow, they process like an Indian court. Because of this, the younger generation is moving out of Kerala. After some years, there will be Bengalis and Lower caste people",1,2,Kerala,English,
